"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
14184688,0,351,6,350.913541666698,0,21,2,"0-10",0,999,999,"primary",999,"unknown",1,13,1,1,1,1,9001,1,27.9329608938547,"1",0.220685218522012,1
14400868,1,333,2,354.588958333363,0,14,1,"41-65",0,1,1,"secondary",2,"<10k",2,2,1,1,3,1,9001,8,14.5348837209302,"3",0.748394875644313,1
14558526,0,141,6,141.677986111143,1,16,1,"0-10",1,999,999,"primary",2,"10-19k",1,1,1,1,6,997,35,1,23.5294117647059,">=5",0.523835005118731,1
14679892,1,331,7,413.429976851796,0,10,1,"41-65",0,999,6,"postsec",2,"unknown",1,14,1,1,5,1,9001,5,18.9035916824197,">=5",0.211878845163738,1
14732388,1,35,5,83.4398842592491,0,10,1,"41-65",1,999,6,"postsec",1,"10-19k",1,2,1,1,1,1,9001,9,18.9035916824197,"1",0.436043832519535,1
14963423,0,356,4,359.499166666646,1,11,2,"21-40",1,1,1,"secondary",1,"10-19k",1,3,1,1,5,997,10,15,12.970168612192,">=5",0.358019015254679,1
15207770,1,32,2,83.6319675926352,0,15,1,">65",1,999,999,"primary",2,"unknown",2,2,1,1,3,1,9001,7,7.96178343949044,"3",0.989372399069782,1
15329748,0,334,3,340.023067129659,0,0,1,"41-65",1,999,999,"secondary",999,"unknown",997,16,1,1,2,997,9001,7,14.5348837209302,"2",0.396337280541258,1
15392694,1,86,7,111.767951388843,0,18,1,"41-65",1,1,1,"secondary",2,"10-19k",1,5,1,1,2,999,9001,0,10.6837606837607,"2",0.72488838654082,1
15608543,0,350,5,350.893761574058,0,21,1,"21-40",1,1,1,"postsec",1,"10-19k",1,17,1,1,2,997,20,7,12.970168612192,"2",0.188189538802874,1
15806456,1,320,3,355.49145833333,0,11,2,"41-65",1,999,5,"secondary",999,"unknown",2,5,1,1,2,1,9001,15,10.6837606837607,"2",0.396337280541258,1
16030864,1,60,2,83.7744907407323,0,18,1,"0-10",0,999,4,"primary",999,"20-39k",1,9,1,1,3,997,10,6,27.9329608938547,"3",0.456479929549097,1
16192203,1,317,7,354.523020833381,0,12,1,">65",1,999,6,"primary",1,"<10k",2,17,1,1,3,1,9001,5,7.96178343949044,"3",0.997500983515824,1
16291889,0,357,5,359.14883101848,1,3,1,"21-40",0,1,1,"secondary",1,"20-39k",2,9,1,1,5,1,9001,3,12.9032258064516,">=5",0.247976354994249,1
16305255,0,350,5,349.558368055616,0,13,1,"41-65",0,1,1,"secondary",1,"<10k",1,3,1,1,2,997,3,1,10.6837606837607,"2",0.730540682361292,1
16387639,0,210,5,210.66512731486,0,15,1,"11-19",0,999,999,"primary",2,"20-39k",1,14,1,1,4,1,9001,3,16.4473684210526,"4",0.50155593877776,1
16420388,1,213,1,260.538344907458,1,12,1,"41-65",0,999,6,"secondary",999,">=40k",2,14,1,1,5,999,9001,4,18.9035916824197,">=5",0.351780198797923,1
16541874,0,356,4,361.432002314832,0,10,2,"21-40",0,1,1,"postsec",1,"10-19k",1,6,1,1,4,1,9001,4,12.9032258064516,"4",0.211812503370664,1
16682693,0,351,6,351.372141203727,1,8,2,"41-65",0,2,6,"postsec",1,"<10k",1,16,1,1,3,1,9001,1,14.5348837209302,"3",0.359637699101682,1
16688087,0,340,2,338.786921296269,1,18,1,"11-19",0,1,4,"secondary",1,"<10k",1,5,1,1,3,1,9001,2,16.4473684210526,"3",0.231987842433329,1
16993408,1,352,7,406.7552893518,0,18,1,"41-65",0,999,6,"primary",1,"<10k",1,12,1,1,5,1,9001,14,18.9035916824197,">=5",0.917319377499333,1
17003087,1,234,1,265.470173611073,0,11,1,">65",1,999,6,"primary",999,"unknown",1,5,1,1,1,997,5,6,7.96178343949044,"1",0.987235132953063,1
17004422,1,145,3,173.455601851805,0,10,1,"21-40",0,1,1,"postsec",1,"20-39k",1,2,1,1,4,1,9001,11,12.3762376237624,"4",0.141623058753699,1
17257781,0,42,5,41.6755092592211,0,16,1,"41-65",0,1,1,"postsec",1,">=40k",1,8,1,1,4,997,20,10,12.2399020807834,"4",0.213549144946005,1
17429347,0,91,5,91.781134259305,0,18,1,"21-40",0,999,999,"postsec",2,"20-39k",1,11,1,1,4,1,9001,6,12.970168612192,"4",0.141623058753699,1
17471372,0,331,7,330.856273148092,1,20,2,"41-65",1,999,999,"secondary",999,"unknown",2,17,1,1,4,1,9001,9,14.5348837209302,"4",0.316699801100296,1
17521021,1,216,4,264.715057870373,0,17,2,"41-65",1,999,6,"secondary",999,"unknown",999,13,1,1,4,997,3,8,18.9035916824197,"4",0.441433734002036,1
17604612,0,375,2,387.582418981474,1,13,1,"0-10",0,1,4,"primary",999,"unknown",1,13,1,1,4,997,20,6,27.9329608938547,"4",0.179873428091393,1
17706280,1,349,4,369.54850694444,0,13,1,"0-10",1,1,4,"primary",2,"20-39k",1,10,997,1,5,997,20,14,27.9329608938547,">=5",0.51212382808597,1
17800285,1,336,5,348.706458333298,0,16,2,"41-65",1,999,5,"secondary",1,"<10k",1,10,1,1,3,997,5,13,10.6837606837607,"3",0.755412688314284,1
17824455,0,374,1,381.447025462985,0,10,2,"0-10",0,999,999,"primary",999,"unknown",1,2,1,1,4,1,9001,3,27.9329608938547,"4",0.272183866207816,1
17890548,1,145,3,259.5026967593,0,12,1,"21-40",0,999,6,"secondary",1,"<10k",1,16,1,1,3,1,9001,3,12.3762376237624,"3",0.44838057431018,1
17897806,1,320,3,355.497569444473,0,11,1,"41-65",0,999,6,"secondary",1,"10-19k",1,12,1,1,2,997,3,4,18.9035916824197,"2",0.717322489734799,1
17930358,0,374,1,374.571666666656,0,13,2,"11-19",0,1,4,"secondary",1,"<10k",1,1,1,1,5,1,9001,1,20.0400801603206,">=5",0.382705310779558,1
17984165,0,379,6,384.880937500042,0,21,2,"21-40",0,999,999,"postsec",999,"unknown",1,13,1,1,2,1,9001,6,12.970168612192,"2",0.0526985147867691,1
18343372,1,98,5,259.549780092551,0,13,1,"41-65",1,999,5,"primary",2,"10-19k",1,10,1,1,5,999,9001,18,12.2399020807834,">=5",0.915129867146904,1
18382054,0,353,1,352.602881944389,1,14,2,"41-65",0,1,3,"secondary",999,"unknown",1,2,1,1,3,1,9001,2,10.6837606837607,"3",0.289193478878087,1
18520203,1,145,3,166.745451388881,0,17,1,">65",0,999,6,"secondary",2,"10-19k",2,13,1,1,3,1,9001,7,7.96178343949044,"3",0.991461453997558,1
18546643,0,340,2,338.617858796264,1,14,1,"41-65",1,999,999,"primary",999,"unknown",1,7,1,1,3,1,9001,4,14.5348837209302,"3",0.566924370678364,1
18555473,0,352,7,355.574826388853,0,13,2,"41-65",0,2,6,"secondary",2,"<10k",1,17,1,1,3,1,9001,2,18.9035916824197,"3",0.748394875644313,1
18723147,0,213,1,236.719004629646,0,17,2,"41-65",0,1,1,"postsec",2,">=40k",1,18,1,1,8,1,9001,5,12.2399020807834,">=5",0.282346097923716,1
19094963,1,23,7,28.7398495370289,0,17,1,"41-65",0,1,1,"secondary",2,"20-39k",1,14,1,1,5,997,30,23,12.2399020807834,">=5",0.672934183383733,1
19369265,0,180,3,180.518761574058,0,12,2,"41-65",1,999,999,"secondary",999,"unknown",1,15,4,1,6,1,9001,1,10.6837606837607,">=5",0.487517437298248,1
19402654,0,350,5,349.824918981525,0,19,2,"41-65",1,999,999,"primary",999,"unknown",1,17,1,1,3,997,8,2,11.3636363636364,"3",0.690604766677704,1
19470267,1,145,3,166.695497685228,0,16,1,"41-65",1,999,5,"primary",2,"20-39k",1,17,1,1,4,1,9001,4,14.5348837209302,"4",0.857832340144731,1
