participant_code,age_weights
66883812,15.3374233128834
66912749,20.0400801603206
67137517,11.3636363636364
67484458,27.9329608938547
67580946,12.970168612192
67673773,16.4473684210526
67780617,18.9035916824197
67890127,14.5348837209302
68000530,15.3374233128834
68140325,16.4473684210526
68362333,10.6837606837607
68370147,12.970168612192
68591939,12.3762376237624
68593450,7.96178343949044
68755928,10.6837606837607
68926036,12.970168612192
68933514,23.5294117647059
69032437,10.6837606837607
69062339,14.5348837209302
69129801,14.5348837209302
69137285,23.5294117647059
69373872,12.2399020807834
69484780,16.4473684210526
69637785,10.6837606837607
69657024,15.3374233128834
69686269,12.970168612192
69696039,12.3762376237624
69715294,11.3636363636364
69752642,20.0400801603206
69813337,18.9035916824197
69933227,16.4473684210526
70087084,12.970168612192
70253310,11.3636363636364
70346530,10.6837606837607
70419190,16.4473684210526
70586548,12.3762376237624
70658523,11.3636363636364
70690911,7.96178343949044
70710924,10.6837606837607
70740449,20.0400801603206
70840470,15.3374233128834
70840745,11.3636363636364
70847722,10.6837606837607
70915663,11.3636363636364
71179205,12.9032258064516
71239692,23.5294117647059
71246681,16.4473684210526
71295020,12.9032258064516
71412551,10.6837606837607
71432880,12.3762376237624
71498839,20.0400801603206
71525487,15.3374233128834
71542602,12.3762376237624
71707892,15.3374233128834
71790170,14.5348837209302
71798424,7.96178343949044
71872234,11.3636363636364
71960333,20.0400801603206
71985549,7.96178343949044
72028257,20.0400801603206
72078799,12.2399020807834
72105847,16.4473684210526
72126980,18.9035916824197
72219277,7.96178343949044
72397375,12.970168612192
72419995,15.3374233128834
72459175,10.6837606837607
72470897,20.0400801603206
72708443,12.9032258064516
72754022,23.5294117647059
72769522,18.9035916824197
72798199,12.3762376237624
72977412,7.96178343949044
72999795,15.3374233128834
73016379,15.3374233128834
73051890,23.5294117647059
73207394,12.3762376237624
73335815,18.9035916824197
73444664,11.3636363636364
73463764,10.6837606837607
73474238,12.2399020807834
73647579,12.970168612192
73855016,11.3636363636364
73959330,11.3636363636364
73985604,15.3374233128834
74002564,10.6837606837607
74085700,12.970168612192
74182378,12.2399020807834
74341776,7.96178343949044
74395000,12.970168612192
74643171,7.96178343949044
74722095,16.4473684210526
74746631,27.9329608938547
75031341,20.0400801603206
75083808,14.5348837209302
75374365,12.3762376237624
75378155,12.970168612192
75429549,11.3636363636364
75567561,18.9035916824197
75567684,27.9329608938547
75580612,10.6837606837607
75583332,20.0400801603206
75584042,10.6837606837607
75606099,14.5348837209302
75622875,18.9035916824197
75747938,12.970168612192
75774827,16.4473684210526
75802190,12.9032258064516
75821626,16.4473684210526
75823597,12.3762376237624
75887319,16.4473684210526
75974112,14.5348837209302
76052461,15.3374233128834
76066410,12.2399020807834
76109939,12.2399020807834
76126531,10.6837606837607
76189078,12.2399020807834
76212658,20.0400801603206
76250789,18.9035916824197
76281183,18.9035916824197
76317899,15.3374233128834
76349818,23.5294117647059
76739432,14.5348837209302
76973593,20.0400801603206
77053784,23.5294117647059
77069618,12.9032258064516
77133623,16.4473684210526
77153357,16.4473684210526
77166129,12.2399020807834
77283739,20.0400801603206
77319220,15.3374233128834
77355737,10.6837606837607
77400450,10.6837606837607
77477417,12.3762376237624
77514857,20.0400801603206
77647346,12.970168612192
77710158,15.3374233128834
77725637,20.0400801603206
77748949,14.5348837209302
78027519,23.5294117647059
78096234,12.9032258064516
78151694,11.3636363636364
78251014,12.9032258064516
78274084,27.9329608938547
78394560,18.9035916824197
78474807,27.9329608938547
78475860,12.9032258064516
78485378,18.9035916824197
78509088,12.3762376237624
78573105,20.0400801603206
78658758,11.3636363636364
78692773,23.5294117647059
78724340,14.5348837209302
78733428,11.3636363636364
78745890,10.6837606837607
78754706,16.4473684210526
78845538,11.3636363636364
78886714,12.970168612192
78917226,16.4473684210526
79073292,27.9329608938547
79105910,14.5348837209302
79151233,14.5348837209302
79300630,12.3762376237624
79325993,15.3374233128834
79384042,18.9035916824197
79490344,23.5294117647059
79510513,16.4473684210526
79524265,12.9032258064516
79557575,18.9035916824197
79572942,11.3636363636364
79586105,11.3636363636364
79586148,20.0400801603206
79679001,11.3636363636364
79726647,7.96178343949044
79740749,12.3762376237624
79834335,14.5348837209302
79884110,7.96178343949044
80014822,12.970168612192
80052567,16.4473684210526
80070306,15.3374233128834
80080199,11.3636363636364
80281187,16.4473684210526
80300976,11.3636363636364
80433299,20.0400801603206
80565373,16.4473684210526
80581246,18.9035916824197
80595998,11.3636363636364
80649207,23.5294117647059
80651740,11.3636363636364
80684232,16.4473684210526
80692557,10.6837606837607
80797993,7.96178343949044
81021136,15.3374233128834
81170956,11.3636363636364
81188111,12.970168612192
81318554,23.5294117647059
81336290,12.970168612192
81491276,27.9329608938547
81669050,11.3636363636364
81832556,20.0400801603206
81947762,27.9329608938547
81972597,14.5348837209302
82027979,7.96178343949044
82155858,16.4473684210526
82315826,12.9032258064516
82344245,18.9035916824197
82383061,27.9329608938547
82405334,12.9032258064516
82408233,12.2399020807834
82618644,18.9035916824197
82623057,14.5348837209302
82846363,23.5294117647059
82888904,12.970168612192
82972110,27.9329608938547
82976814,12.9032258064516
83079913,10.6837606837607
83473702,23.5294117647059
83498309,10.6837606837607
83550791,7.96178343949044
83650268,10.6837606837607
83732108,27.9329608938547
83766141,18.9035916824197
83914388,12.9032258064516
83986437,23.5294117647059
84240327,12.3762376237624
84252995,7.96178343949044
84657836,10.6837606837607
84696974,11.3636363636364
84786896,18.9035916824197
84835192,14.5348837209302
84836384,15.3374233128834
84930880,12.2399020807834
85006266,10.6837606837607
85062676,10.6837606837607
85219503,23.5294117647059
85231372,7.96178343949044
85232112,12.3762376237624
85270245,12.9032258064516
85274949,14.5348837209302
85278749,11.3636363636364
85315463,12.2399020807834
85414106,12.3762376237624
85430619,23.5294117647059
85581222,12.3762376237624
85601735,14.5348837209302
85660649,7.96178343949044
85662841,12.970168612192
85756290,27.9329608938547
85945794,20.0400801603206
86072707,12.970168612192
86293261,23.5294117647059
86544485,15.3374233128834
86572350,23.5294117647059
86750143,23.5294117647059
86809017,16.4473684210526
87001881,14.5348837209302
87088262,12.9032258064516
87169149,27.9329608938547
87185536,12.970168612192
87190434,23.5294117647059
87196929,12.9032258064516
87330549,12.2399020807834
87331254,14.5348837209302
87452223,15.3374233128834
87490160,11.3636363636364
87588690,20.0400801603206
87722788,12.970168612192
87746186,23.5294117647059
87898918,18.9035916824197
87909822,14.5348837209302
87917134,11.3636363636364
