participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,num_usual_contacts,total_hrs_participant,physical_hrs_participant
45740273,2,370,4,371.944282407407,5,22,2,8,1,999,999,1,2,8,1,16,1,1,3,15.5416666666667,15.5
45825573,2,368,2,368.671134259319,2,16,1,4,2,1,4,1,2,7,1,17,1,1,5,21.1166666666667,20.5
45863335,1,333,2,368.637372685131,2,15,1,10,2,999,4,1,999,999,1,13,1,1,3,21.8833333333333,13.275
46025078,2,395,1,394.937951388885,7,22,1,15,1,1,4,1,999,999,1,15,1,1,2,39.125,34.125
46077422,2,366,7,365.717847222229,6,17,2,13,2,999,999,1,1,1,1,16,1,1,3,37.475,24
46089917,1,28,5,83.6474768518237,4,15,2,48,2,1,5,3,2,8,1,18,1,1,2,22.4833333333333,11.5
46221582,2,377,4,385.860590277822,5,20,1,15,1,999,999,1,1,1,1,9,1,1,2,18.5,14.5
46233386,1,355,3,370.723692129599,4,17,1,4,2,999,4,1,2,2,1,6,1,1,4,32.5,32.5
46269850,2,314,4,314.973483796348,4,23,2,28,1,1,1,3,2,8,1,17,1,1,1,8.11666666666667,5
46351919,2,22,6,25.6863773148507,2,16,2,38,2,999,999,3,999,999,1,14,1,1,4,14.975,12
46360894,2,374,1,383.792268518475,3,19,2,13,1,999,999,1,2,9,997,14,1,2,2,7.73333333333333,0
46454142,2,22,6,26.7465277777519,3,17,2,53,2,1,1,2,1,8,1,3,1,1,1,6.98333333333333,0
46464610,2,4,2,25.4857870370615,2,11,1,37,1,1,1,3,2,10,2,13,1,1,5,0.616666666666667,0.616666666666667
46523078,1,25,2,29.7434490740998,6,17,2,53,2,1,1,1,1,2,1,7,1,1,1,10.725,4.61666666666667
46528593,2,340,2,341.852025463013,3,20,2,23,2,1,1,3,1,7,1,18,1,1,0,6.5,4
46626598,1,216,4,264.743576388923,3,17,1,81,1,999,6,3,999,999,997,17,1,1,7,4,0
46676194,2,328,4,332.712800925947,1,17,1,48,1,1,1,3,2,11,1,18,1,1,1,4,4
46816817,1,333,2,354.546423611115,2,13,1,10,2,1,4,1,2,7,1,1,1,1,10,19.5083333333333,16.85
46838614,1,320,3,337.765844907379,6,18,1,64,1,999,6,3,2,7,2,7,1,1,1,7.25,4
46908275,1,352,7,354.470995370415,2,11,2,8,2,999,4,1,999,2,1,6,999,1,2,0.516666666666667,0
46912449,2,331,7,331.729895833298,7,17,1,40,1,1,3,3,1,6,997,8,1,1,2,9.61666666666667,6.5
46957455,2,379,6,381.871724536992,1,20,1,34,1,1,1,3,1,10,1,14,1,1,0,15.1666666666667,4.50833333333333
46978852,1,102,2,106.521886574104,6,12,1,35,1,1,1,2,1,3,2,7,1,1,5,6.5,6.5
46984835,2,370,4,374.471562499995,1,11,1,37,1,1,1,2,2,3,2,7,1,1,5,4.15833333333333,4
47267353,1,362,3,400.461620370392,6,11,1,45,1,1,1,2,2,9,1,2,1,1,4,37.7583333333333,24.0416666666667
47269857,2,340,2,337.921851851861,6,22,1,12,2,1,4,1,2,11,1,2,1,1,3,8.61666666666667,0
47327306,2,86,7,86.6347916666418,7,15,2,38,2,1,1,3,2,8,1,17,1,1,2,6.50833333333333,1.23333333333333
47344771,2,91,5,91.9800115741091,5,23,2,53,1,999,999,3,999,999,1,9,1,1,1,2.5,2.5
47353122,2,365,6,377.662916666712,4,15,1,40,1,1,1,3,1,11,1,9,1,1,3,31.1583333333333,7.65833333333333
47405812,2,79,7,80.4959953703219,1,11,1,26,2,1,1,3,1,3,2,14,1,1,4,4.81666666666667,0.816666666666667
47447435,2,379,6,377.601180555532,4,14,2,38,1,1,3,2,999,999,1,9,1,1,3,5,0
47545727,1,373,7,390.654548611143,3,15,2,53,2,999,999,1,2,2,999,7,1,1,1,2.625,0.125
47681562,2,27,4,28.4970023147762,5,11,2,48,2,2,1,3,1,3,1,18,1,1,4,1.55,0.158333333333333
47747005,1,373,7,390.790787036996,3,18,1,3,1,999,4,1,2,998,1,11,1,1,2,28.5083333333333,27.7666666666667
47790815,1,379,6,400.48726851854,6,11,1,14,1,999,4,2,2,999,1,11,1,1,4,46.45,0
