participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,diary_first_acccess,diary_last_access,diary_time_elasped
23601144,1,352,7,369.437615740695,3,10,1,63,1,1,1,2,2,6,1,1,1,1,8866.43333333333,8866.48333333333,0.0500000000010914
23631969,2,375,2,376.919594907435,3,22,1,43,1,999,999,3,999,999,1,7,1,1,9046.01666666667,9046.05,0.0333333333328483
23718206,2,141,6,139.425752314855,4,10,1,19,2,999,999,2,2,5,1,16,1,1,3346.18333333333,3346.21666666667,0.033333333333303
23764485,2,31,1,31.4192708333721,1,10,1,19,1,999,999,2,999,999,1,5,1,1,754.033333333333,754.05,0.0166666666666515
23869239,2,10,1,25.5304861110635,2,12,1,38,1,1,1,3,1,5,1,11,1,1,612.65,612.65,0
23919020,2,27,4,33.5896296296269,3,14,2,38,2,1,3,2,1,4,2,13,1,1,806.033333333333,806.15,0.116666666666674
24024370,1,349,4,354.463136574021,2,11,2,23,1,1,1,3,1,998,1,2,1,1,8507.03333333333,8507.1,0.0666666666675155
24024711,1,145,3,259.480879629613,5,11,1,54,2,1,1,1,1,999,1,2,1,1,6227.03333333333,6227.5,0.466666666666242
24149384,2,328,4,328.941412037006,4,22,1,26,2,1,1,3,1,3,1,12,1,1,7894.5,7894.58333333333,0.0833333333330302
24248656,2,331,7,427.530381944496,5,12,1,50,2,2,5,3,999,999,1,1,1,1,10260.7166666667,10260.7166666667,0
24286762,2,353,1,350.605972222169,5,14,1,31,2,1,1,3,1,6,2,4,1,1,8414.46666666667,8414.51666666667,0.0499999999992724
24370596,1,379,6,400.648680555518,6,15,1,7,1,999,4,1,999,999,1,9,1,1,9615.48333333333,9615.55,0.0666666666656965
24445376,1,98,5,118.783506944426,4,18,1,60,1,999,6,2,2,6,1,6,1,1,2850.73333333333,2850.78333333333,0.0500000000001819
24498627,2,28,5,27.4114930555224,4,9,2,53,2,1,1,2,999,999,1,2,1,1,657.766666666667,657.816666666667,0.0500000000000682
24533540,2,328,4,328.845324074035,4,20,2,8,1,1,4,1,1,1,1,1,1,1,7892.26666666667,7892.26666666667,0
24577058,1,23,7,28.7600115740206,5,18,1,60,2,999,5,2,2,3,1,6,1,1,690.183333333333,690.233333333333,0.0500000000000682
24620397,2,377,4,377.885810185224,4,21,1,33,1,1,1,3,1,7,1,2,1,1,9069.06666666667,9069.25,0.183333333332484
24638255,2,332,1,334.166458333377,3,3,2,33,2,1,5,2,2,6,1,6,1,1,8019.83333333333,8019.96666666667,0.133333333333212
24730187,1,336,5,354.497256944422,2,11,1,50,2,2,2,2,2,3,2,6,1,1,8507.91666666667,8507.91666666667,0
24760713,1,18,2,25.5346527778311,2,12,1,55,1,1,1,2,1,4,1,3,1,1,612.8,612.816666666667,0.0166666666667652
24809664,2,238,5,239.49325231486,6,11,2,23,2,1,1,3,1,3,1,18,1,1,5723.51666666667,5747.83333333333,24.3166666666666
25074113,2,387,7,386.945370370406,6,22,1,12,2,999,999,1,999,999,1,6,1,1,9286.53333333333,9286.61666666667,0.0833333333339397
25169140,2,22,6,25.6178703703918,2,14,2,38,2,999,999,3,1,5,1,15,1,1,614.7,614.816666666667,0.116666666666674
25281029,1,101,1,110.515972222202,3,12,1,57,2,2,1,2,2,3,1,3,1,1,2652.33333333333,2652.36666666667,0.033333333333303
25300496,1,352,7,370.460312500014,4,11,1,5,1,999,4,1,2,2,2,11,1,1,8890.88333333333,8891.03333333333,0.149999999999636
25328987,2,328,4,328.821400462999,4,19,2,43,2,999,999,2,999,999,1,13,1,1,7891.66666666667,7891.66666666667,0
25419195,2,19,3,20.0534375000279,4,1,1,39,1,1,1,3,999,999,1,11,1,1,447.366666666667,481.266666666667,33.9
25593841,2,85,6,88.0147453703685,2,0,1,32,1,1,1,3,1,5,1,17,1,1,2112.25,2112.33333333333,0.0833333333334849
25907403,2,328,4,328.688414351898,4,16,2,18,1,1,1,3,2,8,1,6,1,1,7888.5,7888.51666666667,0.0166666666664241
25993392,2,81,2,83.7159375000047,4,17,1,51,1,1,1,2,2,7,1,17,1,1,2008.98333333333,2009.16666666667,0.183333333333394
26015614,1,145,3,252.498252314865,5,11,1,62,1,999,6,2,2,8,2,18,1,1,6059.63333333333,6059.95,0.316666666666606
26075094,1,113,6,113.641134259291,6,15,1,60,1,1,3,1,1,3,1,14,1,999,2727.25,2727.36666666667,0.116666666666788
26343036,2,366,7,364.479224537034,5,11,2,33,1,1,1,3,1,7,1,14,1,1,8747.36666666667,8747.5,0.133333333333212
26354694,1,349,4,369.62553240743,3,15,1,32,2,1,1,3,2,7,1,2,1,1,8869.38333333333,8870.86666666667,1.48333333333358
26616425,2,370,4,371.011087963008,5,0,1,7,1,1,4,1,1,1,1,17,1,1,8904.25,8904.25,0
26742090,1,32,2,36.7867824074347,6,18,1,76,2,999,6,2,999,1,999,14,1,1,882.766666666667,882.866666666667,0.100000000000023
26937464,1,28,5,32.7223379629431,2,17,1,68,1,1,3,2,1,8,997,13,1,1,785.066666666667,785.316666666667,0.25
27041623,1,102,2,105.781840277836,5,18,1,79,1,999,6,3,999,999,2,17,1,1,2538.66666666667,2538.75,0.0833333333334849
27076603,1,198,7,259.761724537006,5,18,1,60,2,1,1,1,999,2,1,11,1,1,6231.06666666667,6234.26666666667,3.19999999999982
27250942,2,351,6,348.824444444384,3,19,2,23,1,1,1,3,1,4,1,15,1,1,8371.75,8371.76666666667,0.0166666666664241
