participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence
19470267,1,145,3,166.695497685228,3,16,1,58,2,999,5,1,2,7,1,17,1,1
19555774,1,373,7,400.518530092551,6,12,2,33,2,1,1,3,1,7,1,14,1,1
19633207,1,317,7,354.730960648158,2,17,1,21,2,2,4,3,1,2,1,10,1,1
19787052,2,328,4,326.744456018554,2,17,2,48,1,999,999,3,999,999,997,17,1,1
19940509,1,352,7,369.522060185205,3,12,1,2,2,999,999,1,2,5,1,13,1,1
19963077,2,42,5,52.7279629629338,1,17,2,18,2,1,1,3,1,3,1,9,1,1
19992114,2,331,7,331.957442129613,7,22,1,27,1,1,1,3,1,5,1,17,1,1
20162067,2,16,7,14.9419907407137,5,22,2,28,2,1,1,2,1,4,1,13,1,1
20456667,2,332,1,331.002418981516,7,0,2,8,1,999,999,999,2,7,1,13,1,1
20542936,1,336,5,364.515648148139,5,12,1,65,1,999,6,3,1,6,1,2,1,1
20602985,2,81,2,82.764444444445,3,18,1,64,2,2,6,3,1,6,1,18,1,1
20708861,2,348,3,350.950243055588,5,22,2,28,1,1,1,3,1,8,1,18,1,1
20931383,1,397,3,400.513726851903,6,12,1,5,2,999,4,1,999,999,1,16,1,1
21006078,1,333,2,354.549884259235,2,13,1,66,1,999,6,3,2,5,2,10,1,1
21070328,2,85,6,85.571956018568,6,13,1,56,2,1,3,3,1,4,1,3,1,1
21091572,2,331,7,331.79667824076,7,19,2,53,2,999,999,2,1,4,1,17,1,1
21228817,2,280,5,278.707071759272,3,16,1,27,2,1,1,999,999,999,1,16,1,1
21476608,2,379,6,385.880185185233,5,21,2,13,2,999,999,2,999,999,1,8,1,1
21493813,1,81,2,91.7194097222527,5,17,1,75,1,999,6,2,999,999,1,5,1,1
