participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
36693538,1,1,2,18,2,5,9001,2,2,9001,2,9001,9001,9001,1,736696.890972222,349
36693538,1,2,2,18,1,5,9001,2,3,9001,2,9001,9001,9001,1,736696.890972222,349
36693538,1,3,2,28,1,5,9001,2,2,9001,2,9001,9001,9001,1,736696.891666667,349
36693538,1,4,2,48,1,5,1,2,3,9001,2,9001,9001,9001,1,736696.891666667,349
36693538,1,5,2,33,1,5,9001,2,2,9001,2,9001,9001,9001,2,736696.897916667,349
36693538,1,6,2,18,1,5,9001,2,3,9001,2,9001,9001,9001,1,736696.896527778,349
36693538,1,7,2,23,1,5,9001,2,3,9001,2,9001,9001,9001,2,736696.89375,349
36693538,1,8,2,23,1,5,9001,2,3,9001,2,9001,9001,9001,1,736696.897222222,349
36693538,1,9,2,18,2,5,9001,2,3,9001,2,9001,9001,9001,2,736696.894444444,349
36693538,1,10,2,18,1,5,9001,2,2,9001,2,9001,9001,9001,2,736696.895138889,349
36693538,1,11,2,23,1,5,9001,2,3,9001,2,9001,9001,9001,2,736696.895138889,349
36693538,1,12,2,23,1,5,9001,2,3,9001,2,9001,9001,9001,2,736696.895833333,349
75823597,1,1,1,2,1,1,1,9001,3,1,9001,9001,9001,9001,1,736696.813888889,349
75823597,1,2,1,4,2,1,1,9001,3,1,9001,9001,9001,9001,1,736696.814583333,349
75823597,1,3,1,20,1,5,9001,2,4,9001,2,9001,9001,9001,2,736696.815972222,349
75823597,1,4,2,23,1,997,9001,2,4,9001,9001,9001,9001,997,4,736696.815972222,349
75823597,1,5,2,13,1,5,9001,2,4,9001,2,9001,9001,9001,2,736696.816666667,349
75823597,1,6,2,13,2,3,9001,2,3,9001,9001,3,9001,9001,3,736696.817361111,349
78474807,997,1,2,28,2,1,1,9001,1,1,9001,9001,9001,9001,2,736696.702083333,370
78474807,997,2,2,28,1,1,9001,2,2,1,9001,9001,9001,9001,2,736696.702777778,370
78474807,997,3,2,8,2,1,1,9001,3,1,9001,9001,9001,9001,1,736696.702777778,370
78474807,997,4,2,28,2,3,9001,2,2,9001,9001,3,9001,9001,2,736696.703472222,370
17851466,997,1,2,48,2,1,1,2,4,1,9001,9001,9001,9001,1,736696.924305556,351
17851466,997,2,2,53,1,5,1,9001,3,9001,2,9001,9001,9001,2,736696.927777778,351
17851466,997,3,2,43,2,997,9001,2,1,9001,9001,9001,9001,997,2,736696.928472222,351
17851466,997,4,2,48,1,5,9001,2,1,9001,2,9001,9001,9001,2,736696.929166667,351
17851466,997,5,2,33,2,5,9001,2,1,9001,2,9001,9001,9001,2,736696.929861111,351
57928253,997,1,2,23,1,997,9001,2,4,9001,9001,9001,9001,997,3,736696.546527778,429
14017158,999,1,1,54,2,1,1,2,5,1,2,9001,9001,997,1,736696.525,369
14017158,999,2,1,26,2,1,9001,2,5,1,9001,9001,9001,9001,1,736696.525,369
14017158,999,3,2,55,2,997,9001,2,1,9001,9001,9001,9001,997,2,736696.525694444,369
14017158,999,4,2,35,1,997,9001,2,1,9001,9001,9001,9001,997,1,736696.525694444,369
14017158,999,5,2,45,2,997,9001,2,1,9001,9001,9001,9001,997,1,736696.526388889,369
14017158,999,6,2,55,2,997,9001,2,3,9001,9001,9001,9001,997,1,736696.526388889,369
14017158,999,7,2,85,2,997,1,9001,3,9001,9001,9001,9001,997,1,736696.526388889,369
14017158,999,8,2,35,2,997,9001,2,3,9001,9001,9001,9001,997,1,736696.527083333,369
14017158,999,9,2,25,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.527083333,369
14017158,999,10,2,72.5,2,5,1,2,3,9001,2,9001,9001,9001,3,736696.527083333,369
14017158,999,11,1,60,1,5,1,2,4,9001,2,9001,9001,9001,2,736696.527777778,369
14017158,999,12,1,45,1,5,1,2,3,9001,2,9001,9001,9001,3,736696.529166667,369
14017158,999,13,1,50,2,5,1,2,3,9001,2,9001,9001,9001,2,736696.529166667,369
14017158,999,14,1,62,1,5,1,2,3,9001,2,9001,9001,9001,2,736696.529166667,369
14017158,999,15,1,76,2,5,1,2,3,9001,9001,9001,9001,9001,2,736696.529861111,369
14017158,999,16,1,28,2,5,1,2,3,9001,9001,9001,9001,9001,2,736696.529861111,369
14017158,999,17,1,36,2,5,1,2,3,9001,9001,9001,9001,9001,2,736696.529861111,369
14017158,999,18,1,35,1,5,1,2,3,9001,2,9001,9001,9001,3,736696.529861111,369
14017158,999,19,1,61,1,5,1,2,3,9001,2,9001,9001,9001,3,736696.530555556,369
14017158,999,20,1,57,1,5,1,2,3,9001,2,9001,9001,9001,2,736696.530555556,369
14017158,999,21,1,32,2,5,1,2,3,9001,2,9001,9001,9001,2,736696.530555556,369
14017158,999,22,1,59,1,5,1,2,3,9001,2,9001,9001,9001,2,736696.532638889,369
14017158,999,23,1,64,1,5,1,2,3,9001,2,9001,9001,9001,2,736696.532638889,369
14017158,999,24,1,51,2,5,1,2,3,9001,2,9001,9001,9001,2,736696.536111111,369
