participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
85315463,1,6,4,1,50,2,8
85315463,1,6,5,1,43,2,8
85315463,1,6,6,1,36,2,8
74085700,1,3,1,2,33,1,1
74085700,1,3,2,2,8,1,3
74085700,1,3,3,2,3,1,3
74182378,1,1,1,1,44,2,1
98126978,1,2,1,2,58,1,2
98126978,1,2,2,2,53,2,2
91549678,1,3,1,1,2,2,4
91549678,1,3,2,1,38,2,2
91549678,1,3,3,1,38,2,2
32951691,1,3,1,2,43,2,1
32951691,1,3,2,2,13,2,3
32951691,1,3,3,2,13,1,3
55774986,1,1,1,1,70,1,1
56299382,999,10,1,1,69,1,1
56299382,999,10,2,1,60,2,997
56299382,999,10,3,1,55,2,997
56299382,999,10,4,1,52,2,997
56299382,999,10,5,1,65,2,997
56299382,999,10,6,1,45,2,997
56299382,999,10,7,1,45,2,999
56299382,999,10,8,1,48,2,997
56299382,999,10,9,1,50,2,997
56299382,999,10,10,1,42,2,997
61711545,1,1,1,2,53,1,1
32596110,1,5,1,1,42,1,1
32596110,1,5,2,1,6,2,3
32596110,1,5,3,1,17,2,3
32596110,1,5,4,1,74,2,997
32596110,1,5,5,1,74,1,997
50042587,1,3,1,1,49,1,1
50042587,1,3,2,1,10,1,3
50042587,1,3,3,1,4,2,3
77355737,1,1,1,2,48,1,1
62132019,1,3,1,1,49,1,1
62132019,1,3,2,1,8,1,3
62132019,1,3,3,1,6,1,3
66856327,1,1,1,1,42,2,1
76250789,1,3,1,1,86,2,2
76250789,1,3,2,1,60,1,4
76250789,1,3,3,1,38,2,999
23764485,1,3,1,2,48,1,2
23764485,1,3,2,2,48,2,2
23764485,1,3,3,2,23,1,4
57065386,1,2,1,2,23,1,3
57065386,1,2,2,2,63,2,2
81170956,1,2,1,1,51,2,1
81170956,1,2,2,1,27,2,3
59783280,1,2,1,2,58,2,2
59783280,1,2,2,2,63,1,2
84835192,1,2,1,1,58,2,1
84835192,1,2,2,1,30,1,3
48245576,1,5,1,2,13,1,4
48245576,1,5,2,2,43,2,2
48245576,1,5,3,2,48,1,2
48245576,1,5,4,2,63,2,5
48245576,1,5,5,2,23,2,999
43803510,1,3,1,1,65,1,1
43803510,1,3,2,1,18,2,3
43803510,1,3,3,1,16,2,3
96783978,1,1,1,2,48,2,999
90754638,1,2,1,1,42,1,3
90754638,1,2,2,1,33,2,6
16870246,1,1,1,2,58,2,1
42379809,1,3,1,2,48,2,2
42379809,1,3,2,2,13,2,8
42379809,1,3,3,2,18,2,4
61780253,1,3,1,1,42,999,1
61780253,1,3,2,1,12,999,3
61780253,1,3,3,1,8,999,3
81188111,1,2,1,2,63,1,2
81188111,1,2,2,2,63,2,2
84240327,1,1,1,2,43,1,1
75802190,1,4,1,2,63,2,2
75802190,1,4,2,2,58,1,2
75802190,1,4,3,2,38,1,1
75802190,1,4,4,2,3,1,3
22148144,1,4,1,2,43,2,1
22148144,1,4,2,2,13,1,3
22148144,1,4,3,2,13,1,3
22148144,1,4,4,2,13,1,3
75974112,1,1,1,1,59,1,1
43878748,1,2,1,2,52.5,2,2
43878748,1,2,2,2,53,1,2
99898669,1,3,1,2,48,2,2
99898669,1,3,2,2,53,1,2
99898669,1,3,3,2,18,1,4
45244375,1,3,1,2,43,2,1
45244375,1,3,2,1,19,2,3
45244375,1,3,3,2,16,1,3
34262441,999,1,1,2,63,1,2
60638652,1,1,1,1,55,2,2
