participant_code,residence_type,num_usual_contacts
99116042,1,3
13643403,999,1
10495813,1,3
34627653,1,2
72459175,1,1
78745890,1,3
98326524,1,3
61767959,1,3
84930880,1,5
55603182,1,3
29331062,1,2
11857415,1,7
42555022,1,3
64699726,1,2
13344417,1,2
31377488,1,1
85270245,1,4
94917207,1,2
86544485,1,4
49658715,1,4
69637785,1,2
11724464,1,3
80581246,1,1
67137517,1,3
85274949,1,1
37783600,1,1
88729992,1,2
31929510,1,1
60307151,1,3
17426732,1,3
91265091,1,3
50618404,1,3
87490160,1,2
93931754,1,5
63521733,1,2
61270511,1,1
22119973,1,3
74002564,1,1
99155650,1,1
21654428,1,5
78886714,1,4
75606099,1,2
50668489,1,5
85062676,1,2
75580612,1,2
35366189,1,2
62826765,1,2
77166129,1,3
18994564,1,1
80595998,1,4
79679001,1,3
10667596,1,2
40283356,1,2
61949230,1,5
30993804,1,2
43217961,1,2
46676194,1,1
91702300,1,1
71707892,1,5
89989315,1,1
19787052,1,1
10946094,1,1
63833365,999,2
93908272,1,1
21006078,1,3
53506126,1,4
44779421,1,4
83650268,1,5
55697547,1,2
27992971,1,5
88005481,1,2
76739432,1,3
45863335,1,3
14400868,1,2
53329656,2,3
24149384,1,4
84696974,1,3
91211292,1,4
54148231,999,0
98519464,1,3
61459785,1,3
19150944,1,3
97456570,1,2
24533540,1,2
13317389,1,2
29411242,1,3
47267353,1,4
46816817,1,10
69032437,1,3
80070306,1,5
29192718,1,2
67673773,1,3
78724340,1,1
72105847,1,1
25328987,1,1
66037401,1,2
60332682,1,3
91856194,1,2
75622875,1,1
74395000,1,2
90787499,1,3
25907403,1,2
38831031,1,2
35792872,1,3
51017991,1,2
31667835,1,2
33476208,1,3
77477417,1,2
24730187,1,4
40338184,1,2
79151233,1,2
97736287,1,3
77153357,1,2
53326127,1,2
39243081,1,3
82383061,1,3
79884110,1,2
72219277,1,2
75887319,1,2
64734639,1,5
38509060,1,5
52880532,1,3
13229962,1,4
11037821,1,1
48874542,1,4
48112344,1,5
76126531,1,2
62176309,1,3
78475860,1,5
81669050,1,4
11870454,1,2
99638299,1,1
27571683,1,2
61770335,1,4
74643171,1,0
17800285,1,2
89300315,1,3
20456667,1,4
73207394,1,3
24638255,1,3
82027979,1,1
80300976,1,1
94219601,1,3
79572942,1,10
76109939,1,2
62010218,1,2
99832513,1,3
77133623,1,5
20542936,1,3
87330549,1,2
64804978,1,2
87331254,1,3
17937580,1,2
24248656,1,3
88320215,1,3
19402654,1,2
92719295,1,4
45685244,1,3
19992114,1,3
78573105,1,2
73444664,1,2
60192001,1,3
16305255,1,1
48478716,1,4
57197274,1,1
12180851,1,2
60869355,1,2
60786097,1,4
82155858,1,4
11249443,1,2
50008060,1,3
14679892,1,4
75429549,1,2
12963872,1,3
30348793,1,0
17471372,1,3
43326784,1,3
69696039,1,1
62705764,1,3
88700905,1,4
46912449,1,2
42495031,1,3
15608543,1,1
21091572,1,0
53130951,1,1
18555473,1,2
50440925,1,2
12265942,1,2
12628787,1,3
43187386,1,1
27743004,1,3
12935940,1,3
32141401,1,3
78274084,1,3
50919735,1,2
22301029,1,1
59379543,1,2
34423945,1,1
36952004,1,3
16037020,1,8
51996739,1,4
97690987,1,4
24024370,1,3
95587383,999,3
66168894,1,2
31689500,1,2
54643422,1,3
22985548,1,3
98325760,1,4
44927185,1,3
61377782,1,3
15329748,1,1
52538370,1,3
74722095,1,3
59544261,1,4
56046687,1,3
87917134,1,1
40237141,1,3
95499173,1,2
82846363,1,4
53894905,1,2
57552032,1,2
57440023,1,2
75031341,1,4
15417052,1,7
44687895,1,2
39352176,1,1
50084327,1,2
86750143,1,4
48064114,1,3
62591993,1,2
87909822,1,3
63362095,1,4
58439159,1,2
11294271,1,1
23221606,1,4
38728677,1,3
26354694,1,4
52807309,1,0
33053855,1,2
99115647,1,4
52465278,1,3
11164072,1,4
30014205,1,2
53802698,1,3
91284267,1,2
17706280,1,4
37770233,1,2
41974155,1,2
53689754,1,3
43152321,1,1
37066265,1,3
71498839,999,2
49392448,1,2
62011974,1,2
32053730,1,3
65614797,1,1
57443819,1,3
71432880,1,4
85219503,1,2
59035061,1,3
75821626,1,3
17930358,1,4
79105910,1,1
29485037,1,3
49616996,1,3
68370147,1,2
11625385,1,2
76317899,1,3
40350146,1,4
59108938,1,3
27951738,1,3
43335279,999,4
72419995,1,5
46528593,1,0
16688087,1,2
30521751,1,3
76189078,1,2
29157551,1,4
25300496,1,4
95576448,1,1
98058870,1,1
86293261,1,4
23601144,1,2
79073292,1,3
18546643,1,2
88564173,1,4
62630853,1,2
91196872,1,1
68926036,1,1
28294664,1,3
55646398,1,3
47269857,1,3
53193716,1,3
22804641,1,2
75584042,1,2
82888904,1,4
42475363,1,2
28299235,1,3
49036139,1,1
68591939,1,5
51804787,1,2
29894332,1,3
78733428,1,4
72798199,1,2
36747282,1,1
