participant_code,mode_survey,time_first_access,time_last_update,duration_survey_hrs
59460120,2,736055.567071759,736055.569270833,0.0527777764946222
62754155,2,736056.321990741,736059.917893518,86.3016666658223
68140325,2,736057.440613426,736057.443530093,0.0700000002980232
55327162,1,736071.492916667,736071.500081019,0.171944444999099
50883182,1,736070.744444444,736070.748194444,0.090000000782311
73855016,2,736056.906655093,736056.929664352,0.552222222089767
46978852,1,736071.518553241,736071.521886574,0.080000001937151
35715759,1,736081.488668981,736081.493680556,0.120277779176831
42706748,1,736071.416273148,736071.426574074,0.247222222387791
13884579,1,736089.536828704,736089.555821759,0.455833333544433
53811246,1,736084.592453704,736084.668310185,1.82055555470288
61536246,2,736055.897488426,736057.469247685,37.7222222210839
77319220,2,736056.551493056,736056.56162037,0.243055555969477
73959330,2,736070.982280093,736070.991805556,0.22861111164093
39045439,2,736056.375914352,736056.388703704,0.306944441981614
54470030,1,736090.529398148,736090.533564815,0.099999999627471
87001881,1,736075.499201389,736075.508865741,0.231944443657994
36326162,1,736075.517650463,736075.525462963,0.1875
54378468,2,736055.57099537,736055.575243056,0.101944444701076
47344771,2,736056.971840278,736056.980011574,0.196111111901701
49051874,2,736074.486458333,736074.499953704,0.32388888951391
69129801,1,736081.511979167,736081.522094907,0.242777776904404
94169942,2,736064.572395833,736064.592083333,0.472499999217689
11417589,2,736065.462418981,736065.49400463,0.758055556565523
11319336,1,736082.720173611,736083.434826389,17.1516666663811
88413265,2,736077.273958333,736077.284733796,0.258611110970378
89788386,1,736083.445972222,736083.454143518,0.196111109107733
61983185,2,736079.903287037,736079.922372685,0.458055554889143
97343767,2,736074.697939815,736078.481273148,90.7999999998137
12628960,1,736078.626203704,736078.632407407,0.148888888768852
90311026,1,736083.454953704,736083.46724537,0.295000000856817
89202614,1,736083.764652778,736083.775868056,0.269166665151715
26075094,1,736078.634259259,736078.641134259,0.165000001899898
90714870,2,736144.910162037,736144.926238426,0.38583333324641
12394988,1,736224.575960648,736224.582511574,0.15722222160548
71872234,1,736218.518888889,736218.527824074,0.214444443583488
97782776,1,736224.582986111,736224.595451389,0.299166667275131
16387639,2,736093.341574074,736175.665127315,1975.7652777778
15601792,2,736092.594131944,736092.598946759,0.115555554628372
73335815,1,736224.569340278,736224.573356482,0.0963888885453343
44169120,1,736224.552569444,736224.567881944,0.367500001564622
58408751,2,736092.680243056,736092.685416667,0.124166666530073
92606367,1,736131.696782407,736131.704178241,0.17750000115484
49924420,2,736143.802905093,736143.808032407,0.123055555857718
39360542,1,736138.428634259,736138.43787037,0.221666665747762
40362114,2,736113.631631944,736134.864814815,509.596388887614
93954677,1,736224.483703704,736224.497256944,0.325277776457369
58509536,2,736103.786261574,736103.791226852,0.119166665710509
59400976,2,736106.421342593,736106.434386574,0.3130555562675
82315826,2,736106.402384259,736107.418368056,24.3836111119017
40254546,1,736138.457488426,736138.472106481,0.350833333097398
23718206,2,736104.42025463,736104.425752315,0.131944446824491
87898918,1,736224.522569445,736224.528888889,0.151666665449739
99454600,2,736103.904143519,736132.96619213,697.489166666754
17004422,1,736138.439976852,736138.455601852,0.375
24024711,1,736224.456458333,736224.48087963,0.586111111566424
71985549,1,736131.705127315,736131.735613426,0.731666668318212
88683659,2,736112.633298611,736112.651226852,0.430277776904404
19470267,1,736131.677893518,736131.695497685,0.422500002197921
26015614,1,736217.445543982,736217.498252315,1.26500000059605
18520203,1,736131.736712963,736131.745451389,0.209722221828997
38905939,1,736138.497893519,736138.745173611,5.93472222145647
61418435,1,736224.529363426,736224.533923611,0.109444445930421
56303770,1,736218.529363426,736218.539409722,0.241111110895872
58577813,1,736224.503888889,736224.521261574,0.41694444604218
41829570,2,736103.771493056,736107.018217593,77.9213888905942
78096234,2,736144.926585648,736144.937893518,0.271388889290392
57300101,1,736138.473310185,736138.495289352,0.527500002644956
43844651,1,736218.540532407,736218.571076389,0.733055558055639
83914388,2,736103.727488426,736103.763668982,0.868333334103227
17890548,1,736224.498043982,736224.502696759,0.111666667275131
29664099,2,736104.687222222,736106.719571759,48.7763888882473
14558526,2,736106.672615741,736106.677986111,0.128888891078532
19369265,2,736145.508159722,736145.518761574,0.254444444552064
88542764,2,736106.812824074,736106.821099537,0.198611112311482
83079913,2,736147.446875,736175.972743056,684.62083333265
66883812,2,736145.956284722,736145.959016204,0.0655555548146367
44160407,2,736146.638587963,736146.643043982,0.106944445520639
99426284,2,736184.970381944,736184.995636574,0.606111112050712
36741410,2,736169.410069444,736169.415358796,0.126944443210959
12066136,2,736169.752939815,736169.757048611,0.0986111098900437
56268855,1,736224.616516204,736224.621608796,0.122222221456468
71790170,2,736164.798310185,736164.809050926,0.257777776569128
56725452,2,736169.557233796,736169.564733796,0.179999998770654
65888368,1,736224.622372685,736224.625266204,0.0694444421678782
27076603,1,736224.625798611,736224.761724537,3.26222222205251
78754706,1,736224.715405093,736224.732488426,0.410000000149012
21572472,2,736169.869027778,736169.882141204,0.314722222276032
70840745,2,736167.697476852,736170.481979167,66.8280555540696
13750943,1,736224.763229167,736224.771342593,0.194722222164273
84786896,1,736225.433460648,736236.50349537,265.680833333172
94444357,2,736167.8128125,736167.818298611,0.131666664965451
29184906,2,736174.979756944,736174.991215278,0.275000000372529
51688983,1,736225.438865741,736225.453634259,0.354444444179535
63866678,2,736173.577662037,736173.585601852,0.190555555745959
95291836,2,736175.97275463,736175.990659722,0.429722221568227
55816958,1,736225.454618056,736225.463599537,0.215555554255843
90000869,2,736173.385196759,736173.392962963,0.186388889327645
61051981,2,736182.68837963,736182.696666667,0.198888888582587
51267470,1,736225.492048611,736225.497974537,0.142222221940756
28653088,2,736204.64724537,736204.652974537,0.137500000186265
16420388,1,736225.52994213,736225.538344907,0.201666668057442
79557575,1,736225.51193287,736225.527326389,0.369444443844259
28028420,2,736175.754884259,736175.75849537,0.0866666659712791
69062339,1,736225.539826389,736225.554375,0.349166664294899
18723147,2,736201.709537037,736201.71900463,0.227222221903503
62637506,2,736175.814814815,736178.943425926,75.0866666659713
17521021,1,736229.707222222,736229.71505787,0.188055555336177
87588690,2,736176.868877315,736176.889074074,0.484722222201526
80080199,1,736229.716006944,736229.736168982,0.483888890594244
46626598,1,736229.737337963,736229.743576389,0.149722223170102
34711388,2,736180.635150463,736180.658888889,0.569722222164273
55787046,2,736178.869467593,736178.881990741,0.300555557012558
69373872,1,736229.745162037,736230.426018519,16.3405555542558
76281183,1,736230.427511574,736230.451064815,0.565277776680887
