participant_code,include_all_contacts,num_left_out,num_diary_contact
10667596,1,9001,5
40283356,999,9001,5
61949230,997,10,8
30993804,1,9001,1
43217961,1,9001,11
46676194,1,9001,1
91702300,1,9001,1
71707892,997,20,14
89989315,1,9001,1
19787052,997,3,1
10946094,1,9001,1
63833365,1,9001,3
93908272,1,9001,4
21006078,999,9001,3
53506126,1,9001,2
44779421,1,9001,5
83650268,1,9001,11
55697547,1,9001,2
27992971,1,9001,1
88005481,997,8,3
76739432,999,9001,22
45863335,1,9001,21
14400868,1,9001,8
53329656,997,20,7
24149384,997,5,5
84696974,997,10,5
91211292,997,10,9
54148231,1,9001,9
98519464,997,20,3
61459785,1,9001,4
19150944,1,9001,2
97456570,1,9001,11
24533540,997,500,1
13317389,999,9001,7
29411242,1,9001,3
47267353,997,20,18
46816817,999,9001,11
69032437,1,9001,1
80070306,1,9001,5
29192718,1,9001,10
67673773,1,9001,3
78724340,1,9001,12
72105847,997,60,30
25328987,1,9001,1
66037401,1,9001,6
60332682,1,9001,14
91856194,997,3,16
75622875,997,20,11
74395000,1,9001,12
90787499,1,9001,3
25907403,1,9001,2
38831031,1,9001,3
35792872,997,6,20
51017991,999,9001,11
31667835,1,9001,1
33476208,1,9001,10
77477417,1,9001,2
24730187,999,9001,2
40338184,997,6,4
79151233,997,10,4
97736287,1,9001,4
77153357,997,30,1
53326127,1,9001,9
39243081,1,9001,5
82383061,997,9001,3
79884110,997,65,11
72219277,997,3,2
75887319,1,9001,3
64734639,1,9001,8
38509060,997,7,10
52880532,997,5,4
13229962,997,5,37
11037821,997,8,2
48874542,997,20,9
48112344,1,9001,2
76126531,1,9001,6
62176309,1,9001,2
78475860,1,9001,5
81669050,1,9001,4
11870454,1,9001,6
99638299,1,9001,4
27571683,1,9001,2
61770335,1,9001,18
74643171,1,9001,19
17800285,997,5,13
89300315,997,5,12
20456667,1,9001,1
73207394,1,9001,1
24638255,997,10,2
82027979,997,40,2
80300976,1,9001,7
94219601,1,9001,1
79572942,997,100,10
76109939,1,9001,7
62010218,997,15,10
99832513,997,15,1
77133623,1,9001,11
20542936,1,9001,9
87330549,1,9001,10
64804978,1,9001,4
