participant_code,include_all_contacts,num_left_out,num_diary_contact
42818681,997,7,26
91464655,1,9001,6
98903367,999,9001,17
41323143,1,9001,19
35411283,1,9001,14
84836384,1,9001,6
93799182,1,9001,6
96732089,1,9001,1
92769599,997,5,8
18382054,1,9001,2
88108809,997,5,3
60050415,1,9001,1
54775752,1,9001,4
19089426,997,5,1
41210102,1,9001,1
24286762,1,9001,4
65147287,997,25,6
70419190,1,9001,3
91964417,1,9001,8
93592898,997,8,4
84657836,1,9001,5
79586105,1,9001,10
18636645,997,15,4
22430958,997,10,1
33967483,997,8,2
46984835,997,4,2
14963423,997,10,15
91575539,999,9001,7
64673278,1,9001,7
65119412,997,2,6
62641559,997,3,13
88255952,1,9001,9
13346161,997,2,7
14182942,999,9001,14
80281187,1,9001,1
58784815,999,9001,11
69813337,1,9001,9
93113235,1,9001,4
36402305,1,9001,1
82405334,1,9001,1
16541874,1,9001,4
38435951,1,9001,15
50386662,1,9001,3
45582659,997,20,4
77053784,997,5,2
77514857,1,9001,13
35464969,1,9001,3
58753797,1,9001,4
60150356,1,9001,6
93724430,1,9001,5
47747005,999,9001,26
48566599,1,9001,4
40817966,997,4,2
37809153,1,9001,5
26616425,997,3,1
41445565,1,9001,12
16291889,1,9001,3
29632406,1,9001,3
60430487,1,9001,3
65576691,1,9001,5
87722788,1,9001,12
45825573,997,50,8
14055983,1,9001,10
87196929,1,9001,7
57697220,1,9001,7
56656760,1,9001,5
44211423,1,9001,18
38433295,1,9001,5
92139480,1,9001,1
35788749,1,9001,12
76212658,997,15,4
60746278,1,9001,5
93849161,1,9001,15
70690911,1,9001,3
27715859,997,5,29
93242677,1,9001,4
42351104,1,9001,9
92517207,997,3,4
33056691,1,9001,20
65046116,997,2,2
88995932,997,30,10
31112109,1,9001,3
13775858,997,120,3
26343036,1,9001,9
90607637,1,9001,20
44623572,1,9001,3
64605820,1,9001,3
23499032,997,10,16
23117844,1,9001,5
38500397,1,9001,1
70586548,1,9001,1
99127219,997,20,3
40272308,1,9001,2
58573950,1,9001,3
11776171,999,9001,9
32488774,1,9001,1
33820112,997,20,8
54787848,1,9001,1
40232281,1,9001,2
15264221,1,9001,6
28989980,1,9001,4
75374365,1,9001,5
79524265,1,9001,5
55212238,999,9001,17
55235710,997,10,16
59235352,997,75,6
55860631,1,9001,4
33440850,1,9001,3
45740273,1,9001,6
31623010,997,8,4
90532298,1,9001,6
32342024,1,9001,4
38819323,1,9001,5
32179276,1,9001,2
75378155,1,9001,11
88128462,997,10,11
87185536,997,10,7
22411792,1,9001,3
96317123,1,9001,4
51621637,1,9001,8
95096829,1,9001,7
96471446,997,100,10
19555774,997,2,7
67484458,997,10,7
94349633,997,5,4
48885926,997,2,2
46077422,997,3,18
40940069,997,20,23
50139229,1,9001,1
46360894,1,9001,4
81832556,1,9001,1
47545727,1,9001,4
88157888,1,9001,4
85756290,997,3,1
73051890,1,9001,10
40905140,1,9001,4
34773346,997,65,8
34794436,1,9001,2
17824455,1,9001,3
60588645,1,9001,1
31334995,1,9001,2
66166471,1,9001,2
39341446,1,9001,7
79490344,997,8,8
12818986,997,5,8
90218127,1,9001,12
12808049,1,9001,4
87746186,997,30,12
90496219,1,9001,12
50322326,997,6,1
57896969,1,9001,1
28422326,1,9001,3
22886585,1,9001,3
75583332,1,9001,2
23631969,1,9001,5
17175713,997,10,8
85945794,997,3,1
92990664,997,5,6
56216631,997,10,3
49226652,1,9001,3
71239692,997,2,43
77647346,997,4,21
30881166,1,9001,2
47790815,997,5,39
17604612,997,20,6
37420699,1,9001,4
10105130,997,2,6
89070958,1,9001,3
52526919,997,20,23
41893194,997,20,23
29903147,1,9001,9
72754022,1,9001,7
73474238,997,15,5
35257030,997,4,2
76973593,997,4,6
98316982,997,8,3
57487336,1,9001,5
77069618,1,9001,8
46221582,997,7,5
75747938,1,9001,2
34353107,997,60,35
77725637,1,9001,3
28350064,997,4,6
24370596,997,7,11
11658139,1,9001,1
83732108,997,60,5
78027519,997,30,7
63745362,1,9001,4
25074113,997,30,3
51758126,999,9001,11
30864972,997,5,7
47837972,997,11,29
24620397,1,9001,10
73647579,1,9001,8
69137285,997,25,4
72028257,1,9001,9
54279943,999,9001,13
21476608,997,8,5
35145881,997,10,12
87190434,997,4,2
66912749,997,5,20
17984165,1,9001,6
46957455,1,9001,11
64422886,1,9001,6
70740449,1,9001,8
92079058,997,10,33
80649207,997,5,3
89781724,997,8,15
87169149,1,9001,1
47447435,1,9001,2
81947762,1,9001,2
90670934,997,3,3
95067460,997,15,4
34506763,999,9001,6
64643736,997,30,3
33731847,997,3,5
95329905,997,4,14
23440991,997,5,6
59720104,999,9001,2
90667744,1,9001,3
51273253,997,10,2
92903080,1,9001,4
86572350,999,9001,3
35472160,1,9001,4
41655665,1,9001,5
20931383,999,9001,11
99507885,1,9001,3
89542296,997,3,1
62568804,1,9001,3
13376654,997,100,4
35951820,1,9001,7
32119336,1,9001,5
68933514,1,9001,11
29399075,1,9001,5
38120101,1,9001,10
11170632,1,9001,4
55377154,1,9001,7
46025078,997,10,18
40026972,997,5,3
10605717,1,9001,14
76349818,1,9001,5
57646962,997,5,21
51816850,1,9001,1
54164281,1,9001,2
75567684,1,9001,34
97137749,997,20,10
