Region Code: AS
"Region Name: Asia"
Country Code: THA
"Country Name: Thailand"
Export date: 3/28/2025 9:15:28 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG1610,Ill-defined diseases,2019,Female,Age15_19,[15-19],75.00000000,7.63747454,,3.80445893,
CG1610,Ill-defined diseases,2019,Female,Age40_44,[40-44],474.00000000,9.77521138,,18.00939908,
CG1610,Ill-defined diseases,2019,Female,Age50_54,[50-54],996.00000000,9.71517753,,37.04855444,
CG1610,Ill-defined diseases,2019,Female,Age60_64,[60-64],1823.00000000,11.52848922,,96.36895725,
CG1610,Ill-defined diseases,2019,Female,Age85_over,[85+],20819.00000000,38.54727916,,4351.42473160,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age50_54,[50-54],3231.00000000,15.03000419,,132.52562839,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age55_59,[55-59],3483.00000000,13.92587262,,163.91159033,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age60_64,[60-64],3667.00000000,13.82625745,,225.01598491,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age65_69,[65-69],4068.00000000,14.40867070,,322.87303026,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age70_74,[70-74],4064.00000000,14.96758986,,482.01573668,
CG0590,Noncommunicable diseases,2019,Male,Age20_24,[20-24],627.00000000,15.27777778,,26.00987380,
CG0590,Noncommunicable diseases,2019,Male,Age25_29,[25-29],996.00000000,20.17828201,,41.22212850,
CG0590,Noncommunicable diseases,2019,Male,Age30_34,[30-34],1754.00000000,29.15558511,,75.91696571,
CG0590,Noncommunicable diseases,2019,Male,Age35_39,[35-39],3512.00000000,38.80234228,,138.86543931,
CG0590,Noncommunicable diseases,2019,Male,Age_unknown,[Unknown],2.00000000,66.66666667,,,
CG1480,Injuries,2019,Male,Age50_54,[50-54],2659.00000000,12.36916779,,109.06395725,
CG1480,Injuries,2019,Male,Age55_59,[55-59],2517.00000000,10.06357203,,118.45118371,
CG1480,Injuries,2019,Male,Age60_64,[60-64],2019.00000000,7.61254807,,123.89072090,
CG1480,Injuries,2019,Male,Age65_69,[65-69],1669.00000000,5.91152198,,132.46683567,
CG1610,Ill-defined diseases,2019,Male,Age30_34,[30-34],799.00000000,13.28125000,,34.58247184,
CG1610,Ill-defined diseases,2019,Male,Age35_39,[35-39],1297.00000000,14.32990830,,51.28373428,
CG1610,Ill-defined diseases,2019,Male,Age40_44,[40-44],1902.00000000,14.36990027,,74.35368586,
CG1610,Ill-defined diseases,2019,Male,Age45_49,[45-49],2533.00000000,14.73959849,,99.64096994,
CG1610,Ill-defined diseases,2019,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age_all,[All],30237.00000000,14.10209174,62.03994790,90.36190215,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age00,[0],802.00000000,53.82550336,,273.83976618,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age01_04,[1-4],126.00000000,22.95081967,,9.62656565,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age70_74,[70-74],2946.00000000,13.70168829,,280.52734570,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age75_79,[75-79],3539.00000000,13.97709321,,481.42192912,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age80_84,[80-84],4295.00000000,13.80097041,,793.60679970,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age85_over,[85+],6641.00000000,12.29609880,,1388.04993720,
