Country,Cases of influenza-like illnesses,Year,Week
Thailand,84511,2017,2
Thailand,88197,2017,3
Thailand,92225,2017,4
Thailand,99274,2017,5
Thailand,101850,2017,6
Thailand,100432,2017,7
Thailand,97448,2017,8
Thailand,84499,2017,9
Thailand,80556,2017,10
Thailand,71941,2017,11
Thailand,65419,2017,12
Thailand,59431,2017,13
Thailand,54025,2017,14
Thailand,41967,2017,15
Thailand,52112,2017,16
Thailand,50564,2017,17
Thailand,46664,2017,18
Thailand,46127,2017,19
Thailand,53884,2017,20
Thailand,72205,2017,21
Thailand,90024,2017,22
Thailand,95105,2017,23
Thailand,98891,2017,24
Thailand,99486,2017,25
Thailand,92814,2017,26
Thailand,93886,2017,27
Thailand,97373,2017,28
Thailand,99943,2017,29
Thailand,95177,2017,30
Thailand,101474,2017,31
Thailand,100871,2017,32
Thailand,102344,2017,33
Thailand,112722,2017,34
Thailand,104101,2017,35
Thailand,84717,2017,36
Thailand,105493,2017,37
Thailand,81640,2017,38
Thailand,81572,2017,39
Thailand,78120,2017,40
Thailand,96887,2017,41
Thailand,69482,2017,42
Thailand,64976,2017,43
Thailand,54211,2017,44
Thailand,76853,2017,45
Thailand,80705,2017,46
Thailand,84396,2017,47
Thailand,86481,2017,48
Thailand,83946,2017,49
Thailand,79981,2017,50
Thailand,78120,2017,51
Thailand,71236,2017,52
Thailand,57179,2018,1
Thailand,98133,2018,2
Thailand,97409,2018,3
Thailand,84440,2018,4
Thailand,89574,2018,5
Thailand,80604,2018,6
Thailand,90433,2018,7
Thailand,76573,2018,8
Thailand,79748,2018,9
Thailand,77973,2018,10
Thailand,71163,2018,11
Thailand,48576,2018,12
Thailand,52108,2018,13
Thailand,43768,2018,14
Thailand,45250,2018,15
Thailand,41577,2018,16
Thailand,49323,2018,17
Thailand,49419,2018,18
Thailand,48747,2018,19
Thailand,58876,2018,20
Thailand,67319,2018,21
Thailand,69049,2018,22
Thailand,78400,2018,23
Thailand,80165,2018,24
Thailand,79471,2018,25
Thailand,76578,2018,26
Thailand,647,2018,27
Thailand,67445,2018,28
Thailand,58425,2018,29
Thailand,90884,2018,30
Thailand,95036,2018,31
Thailand,97524,2018,32
Thailand,101344,2018,33
Thailand,107358,2018,34
Thailand,108023,2018,35
Thailand,97705,2018,36
Thailand,109603,2018,37
Thailand,97970,2018,38
Thailand,90079,2018,39
Thailand,79606,2018,40
Thailand,64411,2018,41
Thailand,53804,2018,42
Thailand,53775,2018,43
Thailand,55448,2018,44
Thailand,51219,2018,45
Thailand,73922,2018,46
Thailand,81537,2018,47
Thailand,75625,2018,48
Thailand,73410,2018,49
Thailand,77237,2018,50
Thailand,75107,2018,51
Thailand,69328,2018,52
Thailand,0,2018,53
Thailand,74362,2019,1
Thailand,77280,2019,2
Thailand,102128,2019,3
Thailand,95823,2019,4
Thailand,93703,2019,5
Thailand,88513,2019,6
Thailand,84594,2019,7
Thailand,91095,2019,8
Thailand,90584,2019,9
Thailand,84694,2019,10
Thailand,70465,2019,11
Thailand,61242,2019,12
Thailand,48497,2019,13
Thailand,47462,2019,14
Thailand,54626,2019,15
Thailand,46340,2019,16
Thailand,40912,2019,17
Thailand,41233,2019,18
Thailand,51034,2019,19
Thailand,66067,2019,20
Thailand,74244,2019,21
Thailand,85200,2019,22
Thailand,91468,2019,23
Thailand,88729,2019,24
Thailand,94198,2019,25
Thailand,99568,2019,26
Thailand,82697,2019,27
Thailand,82887,2019,28
Thailand,75299,2019,29
Thailand,85201,2019,30
Thailand,81516,2019,31
Thailand,88221,2019,32
Thailand,91095,2019,33
Thailand,100404,2019,34
Thailand,112089,2019,35
Thailand,114437,2019,36
Thailand,115740,2019,37
Thailand,110486,2019,38
Thailand,100305,2019,39
Thailand,89046,2019,40
Thailand,77235,2019,41
Thailand,69215,2019,42
Thailand,70422,2019,43
Thailand,83226,2019,44
Thailand,93819,2019,45
Thailand,91910,2019,46
Thailand,8248,2019,47
Thailand,85641,2019,48
Thailand,87504,2019,49
Thailand,83297,2019,50
Thailand,73588,2019,51
Thailand,91840,2019,52
Thailand,0,2020,1
Thailand,0,2020,2
Thailand,0,2020,3
Thailand,0,2020,4
Thailand,0,2020,5
Thailand,0,2020,6
Thailand,0,2020,7
Thailand,0,2020,8
Thailand,0,2020,9
Thailand,0,2020,10
Thailand,0,2020,11
Thailand,0,2020,12
Thailand,0,2020,13
Thailand,0,2020,14
Thailand,0,2020,15
Thailand,0,2020,16
Thailand,0,2020,17
Thailand,0,2020,18
Thailand,0,2020,19
Thailand,0,2020,20
Thailand,0,2020,21
Thailand,0,2020,22
Thailand,0,2020,23
Thailand,0,2020,24
Thailand,0,2020,25
Thailand,0,2020,26
Thailand,0,2020,27
Thailand,0,2020,28
Thailand,0,2020,29
Thailand,0,2020,30
Thailand,0,2020,31
Thailand,0,2020,32
Thailand,0,2020,33
Thailand,0,2020,34
Thailand,0,2020,35
Thailand,0,2020,36
Thailand,0,2020,37
Thailand,0,2020,38
Thailand,0,2020,39
Thailand,0,2020,40
Thailand,0,2020,41
Thailand,0,2020,42
Thailand,0,2020,43
Thailand,0,2020,44
Thailand,0,2020,45
Thailand,0,2020,46
Thailand,0,2020,47
Thailand,0,2020,48
Thailand,0,2020,49
Thailand,0,2020,50
Thailand,0,2020,51
Thailand,0,2020,52
Thailand,0,2021,1
Thailand,0,2021,2
Thailand,0,2021,3
Thailand,0,2021,4
Thailand,0,2021,5
Thailand,0,2021,6
Thailand,0,2021,7
Thailand,0,2021,8
